current_date,page_num,call_number,call_time,original_call_reason_action,original_call_taker,call_address,arvd_time,clrd_time,narrative_text,referenced_citation,call_taker,call_reasons,call_actions
01/02/2020,8,20-38,0719,Phone - ASSIST OTHER AGENCY  - FIRE  LOG ENTRY REQUEST,"PATROL DAVID JENNINGS, D",{WIA_90}_STETSON_RD,,,Narrative:  Working on sprinkle system.  Narrative:  System will remain out of service until further notice.  Estimated to be back in service at some point tomorrow  (01/03/2020). CP will call back to advise.  ,,"PATROL DAVID JENNINGS, D",Phone - ASSIST OTHER AGENCY,LOG ENTRY REQUEST
01/02/2020,8,20-39,0735,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,COLD_SPRING_RD,07:35:30,07:35:39,Narrative:  checked  Narrative:  done  Narrative:  Checked 0229  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,8,20-40,0743,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN  GALE RD,Unit,-07:43:28,07:57:44,,Owner;,SERGEANT SCOTT E MCGOWAN,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/02/2020,9,20-42,0802,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL TANIA HERNANDEZ,MAIN_ST,08;:02:25,08:44:37,,,PATROL TANIA HERNANDEZ,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/02/2020,9,20-43,0810,Initiated - TRAFFIC CONTROL,SERGEANT SCOTT E MCGOWAN  COLE AVE,Unit:,08:106:33,08:22:46,,,SERGEANT SCOTT E MCGOWAN,Initiated - TRAFFIC CONTROL,
01/02/2020,9,20-44,0813,Initiated - MOTOR VEHICLE STOP,CHIEF KYLE J JOHNSON,WATER_ST,08:13:33,08:19:112,,T2085862,CHIEF KYLE J JOHNSON,Initiated - MOTOR VEHICLE STOP,
01/02/2020,9,20-45,0821,,CHIEF KYLE J JOHNSON,{WIA_333}_CHURCH_ST,08:21:44,08:37:53,Narrative:  0854 Ron's notified.  ,,CHIEF KYLE J JOHNSON,,
01/02/2020,10,20-49,1021,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,[WIA_1832]_NORTH_HOOSAC_RD,10:21:51,10:23:01,Narrative  checked  Narrative  done  Narrative  CHECKED  Narrative  01/03/2020 0045 Checked 83  Narrative  01/03/2020 0259 Checked $3  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,10,20-50,1024,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANITA HERNANDEZ,NORTH_HOOSAC_RD,10:24:46,10:25:55,Narrative  checked  Narrative  01/03/2020 0043 Checked §3  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,10,20-51,1025,Initiated - BUILDING CHECK  BUILDING CHECKED/ SECURED,SERGEANT SCOTT E MCGOWAN,LONGVIEW_TER,,10:25:52,Narrative  checked  Narrative  done  Narrative  Checked 0206  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,10,20-52,1026,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,LONGVIEW_TER_,10:26:18,10:48:10,Narrative:  No MV's observed during the safety patrol.  Narrative:  checked  ,,SERGEANT SCOTT E MCGOWAN,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/02/2020,11,20-53,1028,Initiated - BUILDING CHECK  BUILDING CHECKED/ SECURED,PATROL TANIA HERNANDEZ,ELM_ST,10:28:38,10:29:18,Narrative  checked  Narrative  01/03/2020 0039 Checked S3  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,11,20-54,1030,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,[WIA_333]_CHURCH_ST,10:30:43,10:33:33,Narrative  Checked.  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,11,20-55,1037,Initiated - PARKING CHECK  SERVICES RENDERED,PATROL TANIA HERNANDEZ,PARK_ST,10:37:35,10:41:59,,,PATROL TANIA HERNANDEZ,Initiated - PARKING CHECK,SERVICES RENDERED
01/02/2020,11,20-56,1043,initiated - PARKING CHECK  SERVICES RENDERED,PATROL TANIA HERNANDEZ,SPRING_ST,10:43:26,10:49:45,Narrative  5 violations  ,,PATROL TANIA HERNANDEZ,Initiated - PARKING CHECK,SERVICES RENDERED
01/02/2020,11,20-57,2050,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,STRATTON_RD,10:50:35,10:50:48,Narrative  checked  Narrative  done  Narrative  Checked 0158  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,12,20-59,1055,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN  FRENIER AVE,Unit,10:55:52,10:55:59,Narrative  checked  Narrative  Checked 0104  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,12,20-60,1056,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,HARWOOD_ST,10:56:20,10:56:26,Narrative:  checked  Narrative:  Checked 0107  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,12,20-61,1107,Initiated ~ BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,[WEA_225]_COLD_SPRING_RD,11:08:09,11:10:06,,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,12,20-62,1123,Phone - SUSPICIOUS ACTIVITY  PATROL ADVISED,"PATROL DAVID JENNINGS, D",WATER_ST,,,Narrative  CP reports her daughter's ex boyfriend from CA has contacted  her stating the government told him in a dream to kill her.  CP states the party said he is on his way to MA to find her.  Narrative  1530- Mother and daughter at station to drop off no trespass  notice. Trespass notice was said to have been emailed to ex  boyfriend. NAPD also received a copy. Ex boyfriend is said  to be wanted in the state of CA for failure to follow court  orders. Trespass notice placed in binder  Narrative  Open Fox Nofification: Donald Diaz entered as Missing Person  ,,"PATROL DAVID JENNINGS, D",Phone - SUSPICIOUS ACTIVITY,PATROL ADVISED
01/02/2020,12,20-63,1157,Phone - DISTURBANCE  SERVICES RENDERED,"PATROL DAVID JENNINGS, D",{WIA_225]_COLD_SPRING_RD,12:06:40,12:17:24,Narrative:  Superintendent reports a student is trying to leave the  school grounds. Party is wearing all black walking north on  RT.7.  Narrative:  Student stated teacher was talking about school shooting and  she got scared and left.  Mom arrived on scene and took  child. Spoke with staff and they will be speaking with mom  and student.  ,,"PATROL DAVID JENNINGS, D",Phone - DISTURBANCE,SERVICES RENDERED
01/02/2020,13,20-64,1231,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,{WIA_150]_GALE_RD,,12:35:28,,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,13,20-65,Call,,PATROL SHUAN N WILLIAM,SPRING_ST,15:17:28,15:23:13,Narrative  01/02/2020 1517 - Start  01/02/2020 1700 - no violations  ,,PATROL SHUAN N WILLIAM,,
01/02/2020,13,20-66,i519,Initiated - PARKING CHECK  SERVICES RENDERED,PATROL JOHN J MCCONNELL JR,PARK_ST,15:20:48,15:25:25,,,PATROL JOHN J MCCONNELL JR,Initiated - PARKING CHECK,SERVICES RENDERED
01/02/2020,13,20-67,1522,911 - DISTURBANCE  TAKEN,PATROL KALVIN DZIEDZIAK,{WIA_1975]_MAY_ST,15:31:34,15:58:33,"Narrative  CP states he is visiting a friend who is currently engaged  in an argument with a past boyfriend. Past boyfriend,  is said to be actively attempting to break down the  door to enter the home.  is a white male and is said  No weapons  to be wearing a plad shirt, approximately 6'4""  involved  1530-  38,32 attempting to locate involved party operating  black  porshce.  1533-  38 en rout to MM Oblong Rd. 1539- At JM Oblong  1541-  38 en route to 128 Stratton Rd.  1540-  32 out on May St  1555-  Contact made with QB) who who will meet officers at  WED.  1725-QRBMMM at station to speak with Officers.  Refer To Incident:  ",,PATROL KALVIN DZIEDZIAK,911 - DISTURBANCE,
01/02/2020,14,20-69,1740,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL SHUAN N WILLIAM,SOUTHWORTH_ST,17:40:36,17:40:43,Narrative  done  Narrative  01/03/2020 0219 Checked $3  Initiated - BUILDING CHECK  ,,PATROL SHUAN N WILLIAM,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/02/2020,14,20-70,1753,BUILDING CHECKED/SECURED,PATROL JOHN J MCCONNELL JR,{WIA_249}_NORTH_ST,17:53:32,17:54:56,Narrative  done  Narrative  01/03/2020 0200 Checked $3  ,,PATROL JOHN J MCCONNELL JR,,BUILDING CHECKED/SECURED
01/02/2020,14,20-71,1758,Phone ~-  ANNOYING PHONE CALLS  SERVICES RENDERED,PATROL KALVIN DZIEDZIAK,,,,"Narrative:  1458  CP states she has been receiving anoying phone calis,  approximately ",,PATROL KALVIN DZIEDZIAK,,SERVICES RENDERED
01/02/2020,14,20-73,2049,initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL KEVIN P GARNER,HANCOCK_RD,20:49:06,20:53:29,,T2085945,PATROL KEVIN P GARNER,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/02/2020,15,20-74,2122,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL JOHN J MCCONNELL JR,MAIN_ST,21:22:01,21:34:03,,;,PATROL JOHN J MCCONNELL JR,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/02/2020,15,20-75,2137,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL KEVIN P GARNER,NEW_ASHFORD_RD,21:37:38,21:42:59,,T2085946,PATROL KEVIN P GARNER,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/02/2020,15,20-76,2149,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL JOHN J MCCONNELL JR,COLE_AVE,21:49:19,21:56:43,,72085813,PATROL JOHN J MCCONNELL JR,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/02/2020,15,20-78,2309,911 - SUDDEN DEATH  INVESTIGATED / REPORT  TAKEN,MICHAEL STRIZZI,ELM_ST,23:14:34,01/03/2020,Narrative  Possible heart attack barely breathing.  2316 38 requesting another tone for EMS. Full code.  Narrative  38 requesting CPAC. CPAC notified.  Narrative  38 Requested medical examiner.  Medical examiner notified.  Narrative  Flynn and Dagnoli contacted. ,,PATROLMAN MICHAEL J ZIEMBA Jr,,INVESTIGATED / REPORT
01/03/2020,16,20-80,0356,Initiated - PARKING CHECK  SERVICES RENDERED,PATROL CRAIG A BICHRAMMER,{WIA_390]_SIMONDS_RD,03:57:01,03:57:13,,,PATROL CRAIG A EICHHAMMER,Initiated - PARKING CHECK,SERVICES RENDERED
01/03/2020,16,20-82,0712,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,PATROL TANIA HERNANDEZ,COLD_SPRING_RD,07:12:34,07:41:45,,,PATROL TANIA HERNANDEZ,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/03/2020,16,20-83,0740,Initiated - TRAFFIC COMPLAINT  SERVICES RENDERED,PATROL TANIA HERNANDEZ,COLD_SPRING_RD,07:41:45,07:43:17,Narrative  RP stopped to state MA 1CBT14 was driving fast and passing  cars from Lanesboro to MGRHS and she confronted driver in  parking lot.  Narrative  Lt Ziemba notified and will call school official and ask  them to speak with student.  ,,PATROL TANIA HERNANDEZ,Initiated - TRAFFIC COMPLAINT,SERVICES RENDERED
01/03/2020,16,20-84,0747,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,PATROL TANIA HERNANDEZ,GALE_RD,07:47:28,08:02:34,,,PATROL TANIA HERNANDEZ,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/03/2020,16,20-85,0759,Phone -  ANIMAL CONTROL  REMOVED HAZARD,"PATROL DAVID JENNINGS, D",MANNING_ST,08:04:43,08:11:04,Narrative:  CP reports a sick looking fox possibly has rabies.  Narrative:  Dispatched  ,,"PATROL DAVID JENNINGS, D",Phone - ANIMAL CONTROL,REMOVED HAZAR
01/03/2020,16,20-700,0800,Phone - TRAFFIC COMPLAINT  LOG ENTRY REQUEST,LIEUTENANT MICHAEL J ZIEMBA Jr,{WIA_225]_COLD_SPRING_RD,,,Narrative:  Party reports erractic driving by a student that she ,,PATROLMAN MICHAEL J ZIEMBA Jr,Phone - TRAFFIC COMPLAINT,LOG ENTRY REQUEST
01/03/2020,17,20-86,0804,Phone ~- ASSIST OTHER AGENCY - FIRE  SERVICES RENDERED,"PATROL DAVID JENNINGS, D",(WIA_2130]_SIMONDS_RD,,,Narrative:  Sprinkler testing.  ,,"PATROL DAVID JENNINGS, D",Phone - ASSIST OTHER AGENCY - FIRE,SERVICES RENDERED
01/03/2020,17,20-87,O81l,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,PATROL TANIA HERNANDEZ,COLE_AVE,08:,08:37:55,,,PATROL TANIA HERNANDEZ,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/03/2020,17,20-88,0819,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,CHIEF KYLE J JOHNSON,(WIA_333]_CHURCH_ST,08:,08:36:28,,,CHIEF KYLE J JOHNSON,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/03/2020,17,20-89,0842,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,FRENIER_AVE,08:,08:43:15,Narrative  checked  Narrative  done  Narrative  Checked  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/03/2020,17,20-90,0843,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,HARWOOD_ST,08:43:39,08:44:21,Narrative  checked  Narrative  done  Narrative  Checked  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/03/2020,17,20-91,0851,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED  |,PATROL TANIA HERNANDEZ  ELM ST,Unit:,08:51:23,08:52:24,Narrative:  checked  Narrative:  Checked Area.  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/03/2020,18,20-92,0854,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,NORTH_HOOSAC_RD,08:54:35,08:55:17,Narrative  checked  Narrative  Checked Area.  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/03/2020,18,20-93,0857,initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,(WIA_1832]_NORTH_HOOSAC_RD,08:57:42,08:59:12,Narrative  Checked  Narrative  Checked  s-4  16:31  Narrative  Checked  S-4  19:19  Narrative  Checked Area  Narrative  Checked Area  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/03/2020,18,20-94,0929,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL BRAD SACCO,,09:29:21,09:32:36,Narrative  Checked S-4  17:27  Narrative  done  Narrative  Checked  ,,PATROL BRAD SACCO,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/03/2020,18,20-95,0935,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,PATROL TANIA HERNANDEZ,LONGVIEW_TER,09:35:29,09:39:41,Narrative:  Arvad-09:42:57 Clrd-09:46:07  checked  ,,PATROL TANIA HERNANDEZ,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/03/2020,19,20-96,0935,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL BRAD SACCO  COLD SPRING RD,Unit,09:35:44,09:35:52,Narrative  Checked S-4  16:39  Narrative  done  Narrative  Checked  ,,PATROL BRAD SACCO,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/03/2020,19,20-97,0939,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL BRAD SACCO,[WIA_225]_COLD_SPRING_RD,09:39:13,09:43:20,,,PATROL BRAD SACCO,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
